ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion
23,QUINTANA ROO,15,CHETUMAL,PVEM_PT_MORENA,69,38411,66,1704,40181,78865,17561
23,QUINTANA ROO,15,CHETUMAL,PVEM_PT_FXMQROO,5,38411,66,1704,40181,78865,7480
23,QUINTANA ROO,15,CHETUMAL,PVEM_MORENA_FXMQROO,17,38411,66,1704,40181,78865,17325
23,QUINTANA ROO,15,CHETUMAL,PT_MORENA_FXMQROO,5,38411,66,1704,40181,78865,11838
23,QUINTANA ROO,15,CHETUMAL,PVEM_PT,46,38411,66,1704,40181,78865,6977
23,QUINTANA ROO,15,CHETUMAL,PVEM_MORENA,740,38411,66,1704,40181,78865,17504
23,QUINTANA ROO,15,CHETUMAL,PVEM_FXMQROO,20,38411,66,1704,40181,78865,6767
23,QUINTANA ROO,15,CHETUMAL,PT_MORENA,62,38411,66,1704,40181,78865,11351
23,QUINTANA ROO,15,CHETUMAL,PT_FXMQROO,2,38411,66,1704,40181,78865,1274
23,QUINTANA ROO,15,CHETUMAL,MORENA_FXMQROO,26,38411,66,1704,40181,78865,11131
23,QUINTANA ROO,2,CANCUN,PAN,2934,41144,55,3038,44237,137914,2934
23,QUINTANA ROO,2,CANCUN,PRI,1067,41144,55,3038,44237,137914,1067
23,QUINTANA ROO,2,CANCUN,PRD,563,41144,55,3038,44237,137914,563
23,QUINTANA ROO,2,CANCUN,PVEM,13782,41144,55,3038,44237,137914,13782
23,QUINTANA ROO,2,CANCUN,PT,1407,41144,55,3038,44237,137914,1407
23,QUINTANA ROO,2,CANCUN,MC,3870,41144,55,3038,44237,137914,3870
23,QUINTANA ROO,2,CANCUN,MORENA,13476,41144,55,3038,44237,137914,13476
