ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,TXVER,PODEMOS,PC,UC,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,207,EL HIGO,16,29,1594,154,907,1886,49,72,3846,60,31,0,1972,89,74,938,11,4,2,0,5,2,6,1,11703,13,207,11923,14903,
30,VERACRUZ,67,EMILIANO ZAPATA,34,95,3283,3636,1163,421,644,1860,9206,312,2193,622,406,678,4155,1686,295,51,9,8,82,16,24,60,30810,15,783,31608,54038,
30,VERACRUZ,68,ESPINAL,14,38,331,547,2670,5087,249,465,3551,525,51,12,33,95,102,106,78,3,18,12,6,2,24,1,13968,2,339,14309,19979,
30,VERACRUZ,69,FILOMENO MATA,5,17,2100,2099,1066,53,98,2278,855,12,3,2,69,20,32,70,2,5,2,1,3,1,0,2,8773,1,166,8940,10968,
30,VERACRUZ,70,FORTIN,27,82,7287,1681,548,710,230,795,13647,453,281,189,376,318,589,758,268,76,36,7,108,7,80,44,28488,19,727,29234,49849,
30,VERACRUZ,71,GUTIERREZ ZAMORA,23,36,2297,203,1700,391,117,1093,4849,270,44,301,19,87,115,140,19,3,9,2,4,0,19,6,11688,3,333,12024,18709,
30,VERACRUZ,72,HIDALGOTITLAN,12,27,269,317,146,991,119,120,2504,851,79,4,0,1814,437,1587,20,9,5,3,1,1,5,0,9282,0,236,9518,12897,
30,VERACRUZ,73,HUATUSCO,26,77,5080,6284,256,3157,457,1153,7151,340,104,84,117,584,520,769,88,47,4,10,224,36,145,37,26647,12,1052,27711,43162,
30,VERACRUZ,74,HUAYACOCOTLA,18,32,1400,892,2978,272,1995,167,2059,41,128,5,0,157,319,49,223,25,58,32,93,43,7,62,11005,31,439,11475,14733,
30,VERACRUZ,75,HUEYAPAN DE OCAMPO,27,56,630,1017,251,988,1177,796,7717,429,2808,19,122,347,348,1599,45,17,7,12,87,20,45,34,18515,2,632,19149,30846,
